,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
4398,2,302.3,310.1,1563,37.8,31,0
4399,1,302.3,310.1,1653,29.7,34,0
4400,1,302.3,310.1,1353,50.9,36,1
4401,0,302.2,310.0,1468,43.6,38,0
4402,0,302.3,310.2,1506,33.8,43,0
4403,1,302.3,310.1,1388,49.9,48,0
4404,2,302.4,310.2,1485,45.9,50,0
4405,1,302.4,310.2,1331,45.5,53,1
4406,1,302.5,310.3,1326,58.5,55,1
4407,1,302.3,310.2,1394,55.4,57,0
4408,1,302.4,310.1,2009,18.9,59,0
4409,2,302.4,310.1,1358,54.6,61,1
4410,1,302.5,310.2,1586,32.2,64,0
4411,1,302.5,310.3,1688,31.6,66,0
4412,1,302.6,310.5,1450,43.2,68,0
4413,2,302.7,310.5,1398,47.3,70,0
4414,1,302.7,310.5,1520,39.3,73,0
4415,1,302.6,310.4,1514,42.7,75,0
4416,2,302.6,310.4,1532,36.1,77,0
4417,1,302.6,310.4,1365,66.8,80,2
4418,1,302.6,310.3,1642,33.2,82,0
4419,2,302.6,310.2,2676,10.8,84,2
4420,0,302.6,310.2,1873,21.3,87,0
4421,1,302.6,310.2,1325,62.4,92,1
4422,2,302.6,310.2,2157,17.2,94,0
4423,2,302.6,310.2,1563,39.0,97,0
4424,2,302.6,310.2,1631,31.0,100,0
4425,1,302.5,310.2,1547,36.9,103,0
4426,1,302.6,310.3,1479,40.4,105,0
4427,2,302.4,310.1,1379,48.9,107,1
4428,1,302.4,310.1,1906,21.2,110,0
4429,2,302.3,310.1,1731,33.4,112,0
4430,0,302.3,310.1,1688,30.4,115,0
4431,0,302.3,310.2,1443,54.6,120,0
4432,1,302.4,310.2,1445,46.4,125,0
4433,0,302.4,310.2,1435,44.9,127,0
4434,1,302.4,310.1,1556,32.9,132,0
4435,1,302.3,310.1,1321,52.7,134,1
4436,2,302.4,310.1,1577,35.8,136,0
4437,1,302.4,310.2,1578,31.2,139,0
4438,1,302.4,310.1,1418,52.3,141,0
4439,2,302.4,310.2,1392,55.8,143,0
4440,1,302.5,310.3,1446,44.0,146,0
4441,1,302.5,310.2,1329,50.6,148,1
4442,1,302.5,310.2,1563,34.8,150,0
4443,1,302.5,310.3,1405,57.4,152,0
4444,1,302.4,310.2,2224,16.0,154,0
4445,1,302.5,310.2,1716,29.9,156,0
4446,1,302.5,310.3,1584,35.5,158,0
4447,2,302.5,310.3,1488,41.8,160,0
4448,1,302.4,310.3,1374,51.2,163,1
4449,2,302.4,310.3,1378,54.3,165,1
4450,1,302.5,310.3,1551,37.3,168,0
4451,1,302.5,310.3,1549,40.9,170,0
4452,2,302.5,310.3,1447,39.2,172,0
4453,1,302.4,310.2,1400,53.7,175,0
4454,1,302.4,310.1,1401,48.8,177,0
4455,0,302.4,310.1,1597,28.9,179,0
4456,1,302.3,310.1,1487,46.0,184,0
4457,2,302.5,310.3,1710,27.3,186,0
4458,1,302.6,310.4,1478,47.7,189,0
4459,1,302.6,310.4,1743,26.3,191,0
4460,1,302.6,310.5,1596,32.8,193,0
4461,1,302.7,310.5,1642,30.8,195,0
4462,1,302.7,310.5,1263,67.8,197,1
4463,1,302.8,310.6,2016,19.9,199,0
4464,1,302.8,310.6,1671,30.5,201,0
4465,1,302.8,310.6,1404,43.2,203,0
4466,1,302.8,310.6,1470,41.1,205,0
4467,1,302.8,310.6,1617,37.9,207,0
4468,1,302.7,310.5,1725,29.0,209,0
4469,1,302.7,310.5,1446,40.9,211,4
4470,1,302.7,310.6,1564,34.3,0,0
4471,1,302.8,310.6,1670,29.1,2,0
4472,1,302.7,310.6,1501,48.7,4,0
4473,1,302.7,310.5,1551,35.9,6,0
4474,1,302.7,310.5,1563,35.0,8,0
4475,1,302.7,310.5,1351,41.8,10,1
4476,1,302.6,310.4,1415,52.1,12,0
4477,1,302.6,310.3,1647,34.2,14,0
4478,1,302.5,310.2,1477,41.6,16,0
4479,1,302.6,310.2,1923,21.5,18,0
4480,0,302.7,310.4,1305,55.2,20,1
4481,2,302.6,310.4,1544,35.1,25,0
4482,0,302.7,310.5,1568,36.9,28,0
4483,1,302.7,310.4,1489,42.7,33,0
4484,2,302.6,310.4,1451,43.1,35,0
4485,1,302.7,310.4,1542,35.7,38,0
4486,2,302.6,310.5,1965,20.2,40,0
4487,1,302.5,310.5,1436,36.5,43,0
4488,2,302.5,310.4,1509,37.6,45,0
4489,1,302.5,310.4,1487,40.2,48,0
4490,1,302.5,310.4,1967,20.3,50,0
4491,0,302.6,310.4,1409,53.3,52,0
4492,2,302.6,310.5,1420,56.4,57,0
4493,1,302.7,310.5,1511,37.7,60,0
4494,0,302.6,310.4,1649,30.1,62,0
4495,1,302.6,310.4,1359,57.2,67,1
4496,2,302.5,310.4,1605,36.0,69,0
4497,1,302.5,310.3,1523,36.0,72,0
4498,0,302.6,310.4,1614,36.0,74,0
4499,0,302.6,310.3,1721,27.4,79,0
4500,1,302.6,310.4,1638,36.2,84,0
4501,1,302.5,310.2,1307,54.0,86,1
4502,1,302.4,310.2,1642,28.3,88,0
4503,2,302.5,310.2,1751,30.5,90,0
4504,1,302.4,310.1,1645,31.6,93,0
4505,1,302.4,310.1,1426,46.8,95,0
4506,2,302.4,310.1,1520,36.6,97,0
4507,1,302.4,310.1,1709,31.8,100,0
4508,1,302.4,310.0,1426,46.6,102,0
4509,1,302.4,310.1,1429,43.7,104,0
4510,1,302.4,310.2,1346,62.4,106,1
4511,1,302.5,310.2,1454,43.0,108,0
4512,2,302.5,310.3,1411,49.5,110,0
4513,1,302.4,310.3,1900,24.4,113,0
4514,1,302.4,310.3,1479,36.2,115,0
4515,1,302.5,310.4,1415,48.2,117,0
4516,1,302.5,310.3,1539,39.0,119,0
4517,1,302.4,310.3,1520,31.6,121,0
4518,1,302.4,310.3,1480,45.8,123,0
4519,1,302.4,310.4,1666,29.7,125,0
4520,1,302.4,310.4,1456,47.6,127,0
4521,1,302.4,310.4,1865,23.9,129,0
4522,2,302.5,310.5,1918,21.6,131,0
4523,1,302.5,310.4,1488,48.4,134,0
4524,2,302.5,310.5,1527,38.8,136,0
4525,2,302.4,310.4,1463,42.2,139,0
4526,1,302.4,310.4,1521,38.5,142,0
4527,2,302.4,310.5,1372,45.7,144,1
4528,1,302.5,310.5,1507,39.5,147,0
4529,2,302.4,310.4,1586,34.3,149,0
4530,1,302.5,310.4,1487,42.0,152,0
4531,1,302.5,310.5,1520,41.2,154,0
4532,0,302.5,310.4,1422,41.9,156,0
4533,2,302.4,310.3,1375,52.5,161,1
4534,1,302.4,310.2,1633,28.0,164,0
4535,1,302.4,310.2,1503,36.2,166,0
4536,1,302.4,310.2,1351,45.1,168,1
4537,1,302.3,310.2,1548,35.3,170,0
4538,1,302.4,310.3,1923,23.3,172,0
4539,1,302.5,310.3,1592,32.6,174,0
4540,2,302.5,310.4,1580,35.6,176,0
4541,1,302.5,310.4,1427,46.8,179,0
4542,2,302.5,310.4,1581,32.7,181,0
4543,2,302.6,310.5,1542,39.9,184,0
4544,1,302.5,310.4,1349,55.1,187,1
4545,1,302.5,310.5,1463,43.0,189,0
4546,2,302.5,310.4,1429,43.2,191,0
4547,2,302.5,310.4,1451,53.6,194,0
4548,1,302.6,310.5,1511,37.2,197,0
4549,1,302.6,310.6,1549,37.5,199,0
4550,2,302.5,310.5,1507,40.2,201,0
4551,2,302.6,310.5,1524,33.7,204,0
4552,2,302.7,310.5,1880,22.7,207,0
4553,1,302.6,310.5,1461,45.4,0,0
4554,1,302.6,310.5,1748,28.2,2,0
4555,1,302.7,310.6,1690,26.7,4,0
4556,2,302.7,310.6,1349,51.2,6,1
4557,1,302.7,310.6,1686,26.3,9,0
4558,1,302.7,310.7,1369,47.5,11,1
4559,1,302.7,310.7,1433,43.7,13,0
4560,1,302.7,310.7,1597,41.9,15,0
4561,1,302.9,310.8,1610,32.2,17,0
4562,1,302.7,310.7,1398,57.7,19,0
4563,1,302.7,310.7,1977,20.0,21,0
4564,1,302.8,310.8,1516,39.5,23,0
4565,0,302.7,310.8,1275,55.0,25,1
4566,1,302.8,310.8,1402,50.5,30,0
4567,2,302.8,310.8,1451,44.7,32,0
4568,2,302.7,310.8,1555,36.1,35,0
4569,1,302.8,310.9,1636,35.0,38,0
4570,1,302.8,310.9,1312,52.2,40,1
4571,1,302.8,310.9,1708,29.8,42,0
4572,2,302.9,311.0,1556,36.5,44,0
4573,0,302.8,311.0,1436,43.5,47,0
4574,2,302.9,311.0,1402,40.7,52,0
4575,2,302.9,311.0,1437,49.9,55,0
4576,2,302.9,311.1,1926,21.8,58,0
4577,1,303.0,311.2,1800,23.7,61,0
4578,1,303.0,311.2,1641,32.6,63,0
4579,1,303.0,311.2,1374,48.2,65,1
4580,1,303.0,311.2,1494,37.0,67,0
4581,1,303.0,311.2,1601,32.9,69,0
4582,1,302.9,311.2,1634,36.9,71,0
4583,2,302.9,311.2,1467,37.7,73,0
4584,1,302.8,311.1,1550,32.3,76,0
4585,1,302.8,311.1,1563,32.2,78,0
4586,1,302.7,310.9,1395,48.3,80,0
4587,2,302.8,311.0,1507,33.4,82,0
4588,1,302.8,311.0,1564,38.5,85,0
4589,1,302.8,311.1,1721,30.0,87,0
4590,1,302.8,311.1,1456,36.1,89,0
4591,0,302.9,311.2,2102,17.8,91,0
4592,1,302.9,311.1,1555,33.9,96,0
4593,1,303.0,311.2,1409,41.9,98,0
4594,2,303.0,311.2,1387,41.4,100,0
4595,2,303.0,311.2,1460,43.9,103,0
4596,1,303.0,311.2,1361,47.6,106,1
4597,2,303.0,311.1,1490,43.0,108,0
4598,1,303.1,311.2,1399,49.2,111,0
4599,1,303.1,311.1,1420,55.8,113,0
4600,1,303.0,311.0,1359,44.2,115,1
4601,2,303.0,311.1,1372,54.3,117,1
4602,2,303.0,311.0,1409,41.7,120,0
4603,0,302.9,311.0,1452,58.3,123,0
4604,1,302.9,311.0,1820,24.6,128,0
4605,0,302.9,311.0,1469,48.7,130,0
4606,1,302.9,311.1,1556,45.3,135,0
4607,1,303.0,311.1,1980,20.2,137,0
4608,2,303.0,311.2,1519,38.0,139,0
4609,1,303.0,311.2,1456,44.0,142,0
4610,1,303.1,311.2,1394,45.3,144,0
4611,1,303.0,311.3,1365,56.2,146,1
4612,1,303.0,311.3,2194,16.5,148,0
4613,1,303.1,311.3,1403,55.6,150,0
4614,0,303.0,311.2,1503,37.0,152,0
4615,1,303.0,311.3,1793,29.3,157,0
4616,1,303.1,311.4,1829,24.5,159,0
4617,2,303.1,311.4,1831,23.3,161,0
4618,2,303.0,311.3,1335,53.6,164,1
4619,0,303.1,311.3,2056,19.7,167,0
4620,1,303.1,311.3,1336,52.6,172,1
4621,1,303.0,311.2,1341,51.0,174,1
4622,2,303.0,311.1,1526,37.3,176,0
4623,1,303.0,311.1,1525,40.7,179,0
4624,2,303.0,311.1,1428,39.8,181,0
4625,1,303.0,311.2,1511,45.7,184,0
4626,1,303.0,311.2,1664,29.8,186,0
4627,2,303.0,311.2,1592,38.9,188,0
4628,2,303.0,311.1,1597,36.7,191,0
4629,1,303.0,311.2,1735,26.1,194,0
4630,1,302.9,311.2,1751,23.8,196,0
4631,1,303.0,311.2,1383,44.6,198,0
4632,2,302.9,311.2,1330,53.7,200,1
4633,1,303.0,311.2,1382,50.5,203,0
4634,1,303.0,311.2,1755,30.4,205,0
4635,2,303.0,311.2,1614,35.7,207,0
4636,1,303.0,311.3,1466,43.0,210,0
4637,2,303.1,311.3,1847,24.7,212,0
4638,1,303.1,311.3,1474,34.8,215,0
4639,1,303.1,311.3,1657,31.8,217,0
4640,1,303.1,311.2,1435,40.1,219,0
4641,0,303.1,311.3,1494,42.7,221,0
4642,1,303.2,311.4,1238,54.6,226,1
4643,1,303.2,311.4,1324,54.2,228,1
4644,1,303.2,311.4,1514,41.2,230,0
4645,1,303.3,311.4,1732,25.6,232,0
4646,1,303.3,311.4,1497,46.0,234,4
4647,1,303.3,311.4,1958,21.5,0,0
4648,1,303.3,311.4,1630,32.5,2,0
4649,2,303.3,311.4,1395,59.1,4,0
4650,1,303.3,311.4,1658,30.5,7,0
4651,1,303.2,311.4,1349,51.1,9,1
4652,1,303.1,311.2,1452,52.9,11,0
4653,2,303.1,311.1,1594,35.5,13,0
4654,2,303.1,311.0,1510,47.6,16,0
4655,1,303.1,311.1,1854,22.6,19,0
4656,1,303.1,311.2,1626,32.3,21,0
4657,1,303.1,311.2,1628,35.2,23,0
4658,1,303.1,311.2,1679,34.8,25,0
4659,2,303.1,311.2,1489,44.5,27,0
4660,1,303.2,311.2,1439,43.9,30,0
4661,1,303.3,311.3,1350,48.1,32,1
4662,0,303.3,311.2,1607,31.7,34,0
4663,1,303.3,311.3,1389,53.9,39,0
4664,2,303.3,311.3,1566,46.1,41,0
4665,2,303.4,311.4,1307,54.0,44,1
4666,2,303.3,311.5,1569,36.6,47,0
4667,0,303.3,311.4,1651,30.6,50,0
4668,0,303.3,311.4,1692,27.9,55,0
4669,2,303.3,311.5,1373,47.3,60,1
4670,1,303.2,311.4,1610,35.5,63,0
4671,1,303.3,311.4,1511,43.4,65,0
4672,1,303.3,311.5,1412,55.6,67,0
4673,1,303.4,311.5,1501,36.2,69,0
4674,1,303.4,311.5,1414,44.8,71,0
4675,0,303.5,311.5,1629,33.5,73,0
4676,1,303.4,311.5,1879,21.3,78,0
4677,0,303.5,311.6,1466,47.0,80,0
4678,0,303.6,311.7,1476,40.1,85,0
4679,1,303.6,311.8,1695,30.7,90,0
4680,1,303.6,311.7,1491,39.8,92,0
4681,2,303.6,311.8,1659,34.7,94,0
4682,1,303.6,311.8,1567,31.7,97,0
4683,1,303.6,311.8,1736,32.9,99,0
4684,2,303.6,311.8,1421,44.8,101,0
4685,2,303.6,311.8,1627,30.8,104,0
4686,2,303.5,311.6,1562,34.2,107,0
4687,1,303.5,311.6,2183,17.0,110,0
4688,1,303.5,311.6,1577,38.1,112,0
4689,2,303.4,311.5,1560,36.4,114,0
4690,2,303.4,311.5,1483,43.0,117,0
4691,1,303.5,311.5,1535,33.3,120,0
4692,2,303.4,311.4,1606,29.6,122,0
4693,2,303.4,311.5,1817,24.7,125,0
4694,1,303.4,311.5,1424,50.8,128,0
4695,1,303.3,311.6,1514,34.7,130,0
4696,1,303.4,311.6,1449,41.7,132,0
4697,2,303.5,311.6,1573,34.0,134,0
4698,1,303.4,311.6,1564,41.9,137,0
4699,1,303.5,311.6,1428,46.2,139,0
4700,1,303.5,311.7,1620,31.0,141,0
4701,0,303.5,311.7,1584,32.7,143,0
4702,1,303.6,311.8,1222,66.8,148,1
4703,2,303.6,311.8,1432,42.5,150,0
4704,1,303.7,311.9,1561,33.3,153,0
4705,1,303.6,311.8,1614,33.2,155,0
4706,1,303.5,311.7,1959,22.3,157,0
4707,1,303.5,311.8,1944,23.5,159,0
4708,1,303.4,311.7,1793,25.8,161,0
4709,2,303.4,311.6,1446,50.0,163,0
4710,1,303.4,311.7,1673,32.2,166,0
4711,2,303.4,311.7,1515,44.2,168,0
4712,1,303.4,311.8,1564,35.9,171,0
4713,1,303.5,311.8,1451,45.2,173,0
4714,0,303.4,311.8,1693,28.3,175,0
4715,1,303.4,311.7,1476,42.3,180,0
4716,1,303.4,311.6,1712,30.1,182,0
4717,2,303.4,311.6,1425,45.4,184,0
4718,1,303.3,311.6,1337,56.8,187,1
4719,2,303.4,311.7,1690,34.9,189,0
4720,2,303.4,311.7,1353,44.1,192,1
4721,1,303.5,311.8,1927,21.9,195,0
4722,2,303.4,311.8,1391,42.7,197,0
4723,1,303.4,311.8,1366,50.9,200,1
4724,1,303.4,311.9,1771,31.6,202,0
4725,2,303.4,311.8,1515,42.6,204,0
4726,2,303.4,311.8,2133,18.3,207,0
4727,2,303.4,311.8,1341,47.0,210,1
4728,1,303.4,311.7,1406,47.1,213,0
4729,1,303.4,311.8,1306,61.0,215,1
4730,1,303.3,311.7,1508,35.5,217,0
4731,1,303.3,311.6,1301,45.1,219,1
4732,1,303.3,311.7,1539,38.5,221,0
4733,1,303.3,311.6,1484,44.6,223,0
4734,1,303.2,311.5,1507,39.2,225,0
4735,1,303.2,311.5,1544,42.5,227,0
4736,1,303.2,311.5,1513,37.9,0,0
4737,2,303.2,311.5,1336,58.2,2,1
4738,2,303.2,311.4,2102,19.0,5,0
4739,1,303.2,311.4,1351,53.8,8,1
4740,1,303.3,311.5,1601,35.2,10,0
4741,1,303.2,311.3,1393,52.9,12,0
4742,1,303.3,311.3,1592,33.7,14,0
4743,1,303.3,311.3,1409,51.8,16,0
4744,1,303.3,311.3,1393,47.4,18,0
4745,0,303.2,311.2,1475,43.1,20,0
4746,1,303.2,311.2,1427,45.6,25,0
4747,1,303.3,311.2,1763,27.3,27,0
4748,1,303.2,311.2,1363,46.7,29,1
4749,1,303.2,311.2,1404,50.9,31,0
4750,2,303.2,311.2,1688,31.9,33,0
4751,1,303.3,311.4,1510,37.3,36,0
4752,0,303.3,311.3,1502,39.5,38,0
4753,0,303.2,311.4,1607,36.6,43,0
4754,2,303.3,311.5,1384,54.8,48,0
4755,1,303.4,311.7,1295,51.3,51,1
4756,0,303.4,311.7,1991,19.0,53,0
4757,1,303.4,311.6,1497,42.8,58,0
4758,1,303.5,311.6,1465,48.7,60,0
4759,1,303.5,311.6,1361,46.5,62,1
4760,1,303.6,311.7,1546,38.5,64,0
4761,0,303.7,311.9,1332,52.7,66,1
4762,2,303.7,312.0,2663,11.4,71,2
4763,1,303.7,312.1,1443,45.9,74,0
4764,2,303.7,312.0,1402,48.6,76,0
4765,1,303.7,312.0,1892,22.5,79,0
4766,2,303.6,312.0,1645,35.7,81,0
4767,1,303.6,311.9,1473,50.1,84,0
4768,1,303.6,312.0,1309,52.9,86,1
4769,0,303.6,311.9,1544,37.1,88,0
4770,1,303.5,311.9,1344,49.3,93,1
4771,2,303.6,311.9,1617,36.0,95,0
4772,2,303.6,312.0,1435,37.9,98,0
4773,1,303.6,312.0,1391,50.3,101,0
4774,1,303.6,312.0,1827,23.3,103,0
4775,1,303.5,312.0,1761,25.8,105,0
4776,1,303.5,312.1,1522,36.4,107,0
4777,2,303.5,312.2,1818,23.6,109,0
4778,0,303.6,312.2,1371,54.6,112,1
4779,1,303.7,312.3,1511,38.9,117,0
4780,1,303.7,312.4,1404,46.6,119,0
4781,1,303.7,312.3,1384,45.9,121,0
4782,1,303.8,312.5,1368,52.6,123,0
4783,1,303.7,312.5,1641,36.0,125,0
4784,1,303.9,312.6,1642,32.3,127,0
4785,0,303.9,312.7,1401,50.0,129,0
4786,1,303.8,312.6,1577,41.3,134,0
4787,1,303.7,312.6,1396,44.1,136,0
4788,0,303.7,312.6,1514,35.5,138,0
4789,1,303.8,312.8,1646,35.8,143,0
4790,1,303.8,312.8,1443,40.7,145,0
4791,2,303.7,312.7,1469,48.5,147,0
4792,0,303.7,312.7,1564,40.2,150,0
4793,0,303.6,312.6,1498,40.2,155,0
4794,1,303.6,312.6,1699,27.9,160,0
4795,1,303.6,312.5,1431,49.0,162,0
4796,1,303.5,312.4,1390,47.3,164,0
4797,1,303.5,312.5,1380,46.1,166,0
4798,1,303.5,312.5,1457,46.4,168,0
4799,1,303.5,312.5,1418,42.2,170,0
4800,2,303.5,312.5,1353,51.0,172,0
4801,1,303.5,312.4,1574,32.7,175,0
4802,2,303.5,312.4,1318,54.2,177,0
4803,1,303.6,312.5,1710,31.4,180,0
4804,1,303.7,312.6,1621,38.8,182,0
4805,1,303.6,312.6,1606,33.6,184,0
4806,0,303.6,312.5,1375,54.0,186,0
4807,1,303.5,312.4,1503,36.5,191,0
4808,1,303.5,312.3,1404,48.6,193,0
4809,1,303.4,312.2,1656,32.7,195,0
4810,2,303.4,312.1,1499,39.4,197,0
4811,2,303.4,312.0,1748,28.4,200,0
4812,1,303.4,311.9,1531,37.9,203,0
4813,2,303.3,311.8,1536,40.6,205,0
4814,1,303.4,311.8,1401,53.0,208,3
4815,0,303.4,311.9,1534,33.2,210,0
4816,1,303.4,312.0,1521,35.9,215,4
4817,1,303.5,312.1,1674,30.8,0,0
4818,2,303.6,312.1,1967,20.9,2,0
4819,1,303.6,312.2,1696,30.7,5,0
4820,2,303.6,312.1,1627,32.5,7,0
4821,1,303.5,311.9,1405,45.6,10,0
4822,1,303.5,311.9,1565,38.9,12,0
4823,1,303.5,311.9,1493,38.7,14,0
4824,1,303.4,311.8,1499,45.0,16,0
4825,1,303.3,311.8,1692,30.6,18,0
4826,1,303.4,311.8,2268,15.8,20,0
4827,1,303.4,311.8,1438,58.9,22,0
4828,1,303.5,311.9,1515,39.2,24,0
4829,1,303.4,311.9,1491,38.2,26,0
4830,1,303.5,312.0,1756,29.7,28,0
4831,1,303.5,312.0,1366,54.5,30,1
4832,1,303.5,312.0,1436,45.1,32,0
4833,1,303.4,311.9,1377,41.6,34,1
4834,2,303.4,311.9,1510,42.2,36,0
4835,2,303.4,311.9,1419,50.9,39,0
4836,1,303.3,311.8,1315,62.0,42,1
4837,0,303.3,311.8,1806,27.7,44,0
4838,0,303.3,311.8,1649,29.4,49,0
4839,0,303.4,311.9,1402,50.0,54,0
4840,1,303.4,311.9,1298,63.9,59,1
4841,2,303.3,311.8,1441,44.9,61,0
4842,2,303.3,311.8,1489,49.4,64,0
4843,1,303.3,311.8,1842,24.5,67,0
4844,2,303.4,311.8,1316,50.9,69,1
4845,2,303.3,311.8,1583,33.3,72,0
4846,2,303.3,311.8,1548,33.5,75,0
4847,1,303.4,311.9,1434,44.6,78,0
4848,0,303.5,312.0,1397,52.9,80,0
4849,2,303.5,312.0,1475,42.9,85,0
4850,1,303.5,312.0,1441,56.8,88,0
4851,1,303.7,312.1,1363,51.8,90,1
4852,1,303.7,312.2,1619,34.9,92,0
4853,1,303.7,312.2,1487,34.0,94,0
4854,1,303.7,312.2,1568,33.8,96,0
4855,1,303.7,312.3,1375,46.2,98,0
4856,2,303.6,312.3,1698,31.3,100,0
4857,1,303.7,312.3,1606,37.4,103,0
4858,1,303.7,312.3,1349,51.0,105,0
4859,1,303.7,312.4,1535,38.6,107,0
4860,2,303.6,312.4,1504,49.5,109,0
4861,1,303.5,312.3,1946,21.1,112,0
4862,1,303.5,312.1,1326,55.7,114,0
4863,2,303.6,312.3,1915,22.3,116,0
4864,1,303.6,312.3,1451,43.4,119,0
4865,2,303.5,312.3,1624,34.8,121,0
4866,1,303.6,312.4,1781,28.7,124,0
4867,1,303.6,312.5,1345,54.1,126,0
4868,1,303.6,312.4,1418,46.0,128,0
4869,1,303.7,312.4,1718,26.5,130,0
4870,2,303.7,312.4,1631,28.5,132,0
4871,1,303.7,312.4,1513,40.1,135,0
4872,1,303.7,312.4,1316,59.3,137,0
4873,2,303.7,312.4,1474,38.8,139,0
4874,1,303.8,312.5,1619,30.9,142,0
4875,1,303.7,312.4,1702,31.2,144,0
4876,2,303.7,312.4,1540,37.4,146,0
4877,2,303.7,312.4,1546,33.7,149,0
4878,1,303.7,312.4,1348,51.0,152,0
4879,0,303.7,312.5,1520,35.6,154,0
4880,2,303.8,312.6,1527,41.9,159,0
4881,2,303.8,312.6,1406,47.1,162,0
4882,1,303.7,312.5,1462,46.2,165,0
4883,2,303.8,312.6,1684,29.3,167,0
4884,0,303.8,312.5,1655,28.0,170,0
4885,0,303.8,312.5,1748,25.1,175,0
4886,1,303.8,312.5,1372,45.7,180,0
4887,1,303.7,312.5,1481,33.3,182,0
4888,1,303.7,312.4,1512,39.2,184,0
4889,1,303.7,312.5,1632,36.6,186,0
4890,1,303.7,312.4,1525,43.9,188,0
4891,2,303.7,312.3,1756,26.4,190,0
4892,1,303.7,312.3,1922,23.1,193,0
4893,2,303.8,312.5,1448,44.3,195,0
4894,0,303.8,312.5,1447,46.6,198,0
4895,2,303.8,312.4,1597,33.4,203,0
4896,2,303.7,312.4,1642,32.3,206,0
4897,0,303.8,312.5,1525,38.0,209,0
4898,0,303.6,312.4,1460,53.7,214,0
4899,1,303.6,312.3,2168,17.7,219,0
4900,1,303.6,312.4,1388,41.9,221,0
4901,2,303.6,312.3,1630,32.4,223,0
4902,1,303.6,312.3,1616,29.3,226,0
4903,1,303.6,312.4,2232,16.8,0,0
4904,0,303.6,312.4,1480,50.7,2,0
4905,1,303.6,312.4,1363,53.1,7,0
4906,0,303.6,312.4,1436,45.6,9,0
4907,2,303.6,312.5,1607,33.7,14,0
4908,2,303.6,312.5,1459,48.2,17,0
4909,1,303.5,312.4,1481,43.7,20,0
4910,2,303.5,312.4,1606,31.7,22,0
4911,1,303.5,312.3,1681,29.8,25,0
4912,1,303.5,312.2,1511,37.1,27,0
4913,2,303.5,312.3,1593,35.2,29,0
4914,2,303.5,312.3,1532,41.7,32,0
4915,0,303.5,312.3,1386,49.0,35,0
4916,0,303.4,312.3,1769,27.9,40,0
4917,2,303.4,312.2,1561,38.2,45,0
4918,1,303.3,312.2,1457,40.7,48,0
4919,1,303.3,312.2,1506,40.0,50,0
4920,1,303.4,312.2,1337,69.4,52,2
4921,1,303.4,312.3,1287,54.8,54,0
4922,2,303.4,312.2,1615,35.7,56,0
4923,2,303.4,312.2,1972,23.5,59,0
4924,0,303.4,312.3,1522,42.1,62,0
4925,1,303.4,312.3,1680,30.6,67,0
4926,1,303.4,312.3,1502,36.0,69,0
4927,2,303.5,312.3,1543,33.3,71,0
4928,1,303.5,312.3,1584,35.2,74,0
4929,1,303.5,312.4,1340,44.5,76,0
4930,1,303.4,312.3,1663,33.9,78,0
4931,2,303.3,312.1,1693,30.0,80,0
4932,1,303.3,312.1,1418,44.7,83,0
4933,0,303.4,312.2,1554,36.8,85,0
4934,1,303.4,312.2,1580,35.8,90,0
4935,1,303.4,312.3,1479,42.8,92,0
4936,1,303.5,312.4,1284,70.6,94,2
4937,1,303.4,312.3,1540,38.7,96,0
4938,2,303.5,312.4,1606,30.1,98,0
4939,1,303.6,312.5,1286,62.4,101,0
4940,1,303.6,312.6,1502,39.5,103,0
4941,2,303.6,312.7,1699,31.5,105,0
4942,1,303.5,312.6,1602,34.2,108,0
4943,0,303.6,312.6,1436,42.0,110,0
4944,2,303.6,312.7,1765,27.5,115,0
4945,1,303.6,312.7,1418,44.1,118,0
4946,2,303.7,312.7,1669,31.7,120,0
4947,1,303.7,312.7,1395,53.9,123,0
4948,2,303.8,312.7,1500,41.7,125,0
4949,2,303.8,312.7,1555,33.4,128,0
4950,2,303.8,312.7,1919,20.2,131,0
4951,1,303.8,312.7,1596,36.6,134,0
4952,2,303.8,312.7,1374,53.6,136,0
4953,1,303.7,312.5,1670,26.1,139,0
4954,1,303.7,312.6,1702,29.1,141,0
4955,2,303.8,312.5,1366,45.1,143,0
4956,2,303.8,312.5,2344,15.2,146,0
4957,2,303.8,312.6,1768,23.9,149,0
4958,1,303.8,312.5,1523,47.0,152,0
4959,1,303.8,312.6,1735,25.9,154,0
4960,1,303.9,312.7,1339,62.3,156,0
4961,1,303.9,312.7,1800,24.3,158,0
4962,2,304.0,312.7,1456,51.2,160,0
4963,1,303.9,312.7,1789,24.4,163,0
4964,1,303.9,312.7,1602,33.9,165,0
4965,2,303.8,312.7,1364,49.3,167,0
4966,1,303.8,312.6,1793,28.1,170,0
4967,1,303.9,312.6,1426,53.4,172,0
4968,2,303.9,312.7,1485,43.3,174,0
4969,1,303.9,312.7,1528,38.4,177,0
4970,1,303.8,312.6,1565,36.0,179,0
4971,1,303.8,312.7,1838,27.8,181,0
4972,0,303.8,312.6,1811,24.9,183,0
4973,1,303.8,312.7,1461,38.2,188,0
4974,1,303.8,312.7,1414,41.7,190,0
4975,1,303.7,312.7,1426,45.5,192,0
4976,1,303.7,312.7,1359,56.8,194,3
4977,1,303.7,312.7,1540,44.8,196,0
4978,1,303.6,312.7,1429,47.7,198,0
